frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,Use_Case
72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,14,2,40,0,1,3,0,10,0,0,129,12,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
225,1,2,0,2,1,6,1,1,8,5,1,0,0.001015,0,0,0,0,1,9,0,5,0,0,129,7,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,6,0,9,0,0,129,10,2,1,3.0,161,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,7,0,7,0,0,129,9,0,55,2.0,51,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,1,0,8,0,0,129,6,0,58,1.0,59,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,8,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
253,1,2,0,2,1,8,1,1,10,8,1,0,0.001185,0,0,0,0,1,6,0,4,0,0,129,11,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,0,0,6,0,0,129,7,0,46,1.0,20,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,4,0,0,0,0,129,12,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,11,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
182,1,2,0,2,1,2,1,1,9,1,1,0,0.002092,0,0,0,0,1,2,0,1,0,0,129,14,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,13,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,9,0,5,0,0,129,8,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,7,0,7,0,0,129,10,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
208,1,2,0,2,1,5,1,1,2,4,1,0,0.001073,0,0,0,0,1,1,0,8,0,0,129,7,0,58,1.0,60,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,9,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,10,2,30,0,1,6,0,4,0,0,129,12,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,0,0,0,0,1,0,0,6,0,0,129,8,0,46,1.0,21,-125.309,-51.0801,-197.574,-125.49,0
196,1,2,0,2,1,3,1,1,7,2,1,0,0.001082,0,0,0,0,1,4,0,0,0,0,129,13,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,12,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,2,0,1,0,0,129,15,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
142,1,2,0,2,1,1,1,1,5,13,1,0,0.001256,0,0,0,0,1,3,0,10,0,0,129,14,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,8,2,24,0,1,9,0,5,0,0,129,9,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
239,1,2,0,2,1,7,1,1,6,7,1,0,0.002076,0,0,0,0,1,7,0,7,0,0,129,11,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,8,2,24,0,1,1,0,8,0,0,129,8,0,58,1.0,60,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,10,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,6,0,4,0,0,129,13,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,12,2,36,0,1,0,0,6,0,0,129,9,0,46,1.0,21,-125.309,-51.0801,-197.574,-125.49,0
286,1,2,0,2,1,9,1,1,4,9,1,0,0.001182,0,0,0,0,1,4,0,0,0,0,129,14,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,11,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,13,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
293,1,2,0,2,1,10,1,1,11,10,1,0,0.001271,0,0,0,0,1,2,0,1,0,0,129,0,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,15,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
206,1,2,0,2,1,4,1,1,3,3,1,0,0.001297,0,0,0,0,1,9,0,5,0,0,129,10,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,12,2,36,0,1,7,0,7,0,0,129,12,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
225,1,2,0,2,1,6,1,1,8,5,1,0,0.001187,0,0,0,0,1,1,0,8,0,0,129,9,0,58,1.0,60,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,11,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,6,0,4,0,0,129,14,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,6,0,9,0,0,129,15,2,1,4.0,163,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,0,0,0,0,1,0,0,6,0,0,129,10,0,46,1.0,22,-125.309,-51.0801,-197.574,-125.49,0
253,1,2,0,2,1,8,1,1,10,8,1,0,0.001347,0,0,0,0,1,4,0,0,0,0,129,15,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,5,0,3,0,0,129,14,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,6,0,9,0,0,129,0,2,1,3.0,161,-125.309,-51.0801,-197.574,-125.49,0
182,1,2,0,2,1,2,1,1,9,1,1,0,0.001377,0,0,0,0,1,2,0,1,0,0,129,1,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,0,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,9,0,5,0,0,129,11,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
208,1,2,0,2,1,5,1,1,2,4,1,0,0.001279,0,0,0,0,1,7,0,7,0,0,129,13,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,1,0,8,0,0,129,10,0,58,1.0,61,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,8,0,2,0,0,129,12,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,6,0,4,0,0,129,1,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,5,1,15,0,1,0,0,6,0,0,129,11,0,46,1.0,22,-125.309,-51.0801,-197.574,-125.49,0
196,1,2,0,2,1,3,1,1,7,2,1,0,0.001312,0,0,0,0,1,4,0,0,0,0,129,0,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,15,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
142,1,2,0,2,1,1,1,1,5,13,1,0,0.001396,0,0,0,0,1,2,0,1,0,0,129,2,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,8,2,24,0,1,3,0,10,0,0,129,1,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,9,0,5,0,0,129,12,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,4,1,12,0,1,7,0,7,0,0,129,14,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
239,1,2,0,2,1,7,1,1,6,7,1,0,0.000682,0,0,0,0,1,1,0,8,0,0,129,11,0,58,1.0,61,-125.309,-51.0801,-197.574,-125.49,0
89,1,0,2,1,2,12,1,8,1,11,1,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,13,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
91,1,2,0,2,1,13,1,1,8,12,1,0,0.000738,0,0,0,0,1,6,0,4,0,0,129,2,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,0,0,6,0,0,129,12,0,46,1.0,22,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,4,0,0,0,0,129,1,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,5,0,3,0,0,129,0,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2,0,1,0,0,129,3,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,3,0,10,0,0,129,2,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,6,1,12,0,1,9,0,5,0,0,129,13,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,6,1,18,0,1,8,0,9,0,0,129,14,2,1,1.0,159,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,7,0,7,0,0,129,15,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,6,1,18,0,1,1,0,8,0,0,129,12,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,0
286,1,2,0,2,1,9,1,1,4,9,1,0,0.000467,0,0,0,0,1,8,0,2,0,0,129,15,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,6,0,4,0,0,129,3,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,11,1,6,1,0,-1.0,0,0,0,0,1,0,0,6,0,0,129,13,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,0
293,1,2,0,2,1,10,1,1,11,10,1,0,0.000595,0,0,0,0,1,4,0,0,0,0,129,2,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,1,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
206,1,2,0,2,1,4,1,1,3,3,1,0,0.000425,0,0,0,0,1,2,0,1,0,0,129,4,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,6,1,18,0,1,3,0,10,0,0,129,3,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,9,0,5,0,0,129,14,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,7,0,7,0,0,129,0,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,6,1,18,0,1,1,0,8,0,0,129,13,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,0
225,1,2,0,2,1,6,1,1,8,5,1,0,0.000428,0,0,0,0,1,8,0,2,0,0,129,0,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,6,0,4,0,0,129,4,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,0,0,6,0,0,129,14,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,4,0,0,0,0,129,3,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,2,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,2,0,1,0,0,129,5,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,5,1,15,0,1,3,0,10,0,0,129,4,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
253,1,2,0,2,1,8,1,1,10,8,1,0,0.000668,0,0,0,0,1,9,0,5,0,0,129,15,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,9,0,0,129,1,2,1,1.0,159,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,7,0,7,0,0,129,1,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,1,0,8,0,0,129,14,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,0
182,1,2,0,2,1,2,1,1,9,1,1,0,0.000606,0,0,0,0,1,8,0,2,0,0,129,2,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,6,0,4,0,0,129,5,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
208,1,2,0,2,1,5,1,1,2,4,1,0,0.000485,0,0,0,0,1,0,0,6,0,0,129,15,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,10,2,30,0,1,4,0,0,0,0,129,4,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
196,1,2,0,2,1,3,1,1,7,2,1,0,0.000554,0,0,0,0,1,5,0,3,0,0,129,3,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,2,0,1,0,0,129,6,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
142,1,2,0,2,1,1,1,1,5,13,1,0,0.000638,0,0,0,0,1,3,0,10,0,0,129,5,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,12,3,36,0,1,9,0,5,0,0,129,0,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
239,1,2,0,2,1,7,1,1,6,7,1,0,0.001573,0,0,0,0,1,7,0,7,0,0,129,2,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,1,0,8,0,0,129,15,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,3,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,6,0,4,0,0,129,6,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,12,2,36,0,1,0,0,6,0,0,129,0,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,0
286,1,2,0,2,1,9,1,1,4,9,1,0,0.000796,0,0,0,0,1,4,0,0,0,0,129,5,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,11,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,4,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
293,1,2,0,2,1,10,1,1,11,10,1,0,0.000714,0,0,0,0,1,2,0,1,0,0,129,7,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,6,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
206,1,2,0,2,1,4,1,1,3,3,1,0,0.00067,0,0,0,0,1,9,0,5,0,0,129,1,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,12,2,36,0,1,7,0,7,0,0,129,3,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
225,1,2,0,2,1,6,1,1,8,5,1,0,0.000673,0,0,0,0,1,1,0,8,0,0,129,0,0,58,1.0,63,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,4,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,1,2,6,0,4,0,0,129,7,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,0,0,6,0,0,129,1,0,46,1.0,18,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,4,0,0,0,0,129,6,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,5,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
253,1,2,0,2,1,8,1,1,10,8,1,0,0.000863,0,0,0,0,1,2,0,1,0,0,129,8,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,7,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,9,0,5,0,0,129,2,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
182,1,2,0,2,1,2,1,1,9,1,1,0,0.000838,0,0,0,0,1,7,0,7,0,0,129,4,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,1,0,8,0,0,129,1,0,58,1.0,63,-125.309,-51.0801,-197.574,-125.49,0
208,1,2,0,2,1,5,1,1,2,4,1,0,0.000836,0,0,0,0,1,8,0,2,0,0,129,5,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,10,2,30,0,1,6,0,4,0,0,129,8,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
196,1,2,0,2,1,3,1,1,7,2,1,0,0.000764,0,0,0,0,1,0,0,6,0,0,129,2,0,46,1.0,24,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,4,0,0,0,0,129,7,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
142,1,2,0,2,1,1,1,1,5,13,1,0,0.000834,0,0,0,0,1,5,0,3,0,0,129,6,1,36,511.0,149,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,2,0,1,0,0,129,9,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,8,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,1,2,9,0,5,0,0,129,3,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,7,0,7,0,0,129,5,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,1,2,1,0,8,0,0,129,2,0,58,1.0,63,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,6,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,1,2,6,0,4,0,0,129,9,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
