Unnamed: 0,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,Use_Case
19,72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:50:56.018203020,5,0,3,0,0,129,10,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
20,206,1,2,0,2,1,4,1,1,3,3,1,0,0.001397,0,0,0,0,1,2020-10-17 15:51:00.878175020,2,0,1,0,0,129,13,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
21,72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,14,2,40,0,1,2020-10-17 15:51:01.084167004,3,0,10,0,0,129,12,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
22,225,1,2,0,2,1,6,1,1,8,5,1,0,0.001015,0,0,0,0,1,2020-10-17 15:51:05.728451014,9,0,5,0,0,129,7,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
23,60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:06.186284065,6,0,9,0,0,129,10,2,1,3.0,161,-125.309,-51.0801,-197.574,-125.49,UC1
24,42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:13.732248068,7,0,7,0,0,129,9,0,55,2.0,51,-125.309,-51.0801,-197.574,-125.49,UC1
25,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,2020-10-17 15:51:14.540299892,1,0,8,0,0,129,6,0,58,1.0,59,-125.309,-51.0801,-197.574,-125.49,UC1
26,72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:51:15.048228025,8,0,2,0,0,129,8,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
27,253,1,2,0,2,1,8,1,1,10,8,1,0,0.001185,0,0,0,0,1,2020-10-17 15:51:17.956231117,6,0,4,0,0,129,11,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
28,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,2020-10-17 15:51:23.684286118,0,0,6,0,0,129,7,0,46,1.0,20,-125.309,-51.0801,-197.574,-125.49,UC1
29,60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:24.840219021,4,0,0,0,0,129,12,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
30,72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:51:26.170214891,5,0,3,0,0,129,11,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
31,182,1,2,0,2,1,2,1,1,9,1,1,0,0.002092,0,0,0,0,1,2020-10-17 15:51:31.030189991,2,0,1,0,0,129,14,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
32,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:31.236160040,3,0,10,0,0,129,13,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
33,60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:35.881278038,9,0,5,0,0,129,8,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
34,72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,2020-10-17 15:51:43.884258986,7,0,7,0,0,129,10,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
35,208,1,2,0,2,1,5,1,1,2,4,1,0,0.001073,0,0,0,0,1,2020-10-17 15:51:44.692291975,1,0,8,0,0,129,7,0,58,1.0,60,-125.309,-51.0801,-197.574,-125.49,UC1
36,60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:45.200229883,8,0,2,0,0,129,9,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
37,42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,10,2,30,0,1,2020-10-17 15:51:48.108213902,6,0,4,0,0,129,12,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
38,72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:51:53.836268902,0,0,6,0,0,129,8,0,46,1.0,21,-125.309,-51.0801,-197.574,-125.49,UC1
39,196,1,2,0,2,1,3,1,1,7,2,1,0,0.001082,0,0,0,0,1,2020-10-17 15:51:54.992198944,4,0,0,0,0,129,13,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
40,60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:51:56.322215080,5,0,3,0,0,129,12,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
41,72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:52:01.182173014,2,0,1,0,0,129,15,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
42,142,1,2,0,2,1,1,1,1,5,13,1,0,0.001256,0,0,0,0,1,2020-10-17 15:52:01.388161898,3,0,10,0,0,129,14,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
43,72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,8,2,24,0,1,2020-10-17 15:52:06.034313917,9,0,5,0,0,129,9,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
44,239,1,2,0,2,1,7,1,1,6,7,1,0,0.002076,0,0,0,0,1,2020-10-17 15:52:14.037328959,7,0,7,0,0,129,11,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
45,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,8,2,24,0,1,2020-10-17 15:52:14.845345020,1,0,8,0,0,129,8,0,58,1.0,60,-125.309,-51.0801,-197.574,-125.49,UC1
46,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:52:15.353279114,8,0,2,0,0,129,10,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
47,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,2020-10-17 15:52:18.261276006,6,0,4,0,0,129,13,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
48,72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,12,2,36,0,1,2020-10-17 15:52:23.989309072,0,0,6,0,0,129,9,0,46,1.0,21,-125.309,-51.0801,-197.574,-125.49,UC1
49,286,1,2,0,2,1,9,1,1,4,9,1,0,0.001182,0,0,0,0,1,2020-10-17 15:52:25.143475056,4,0,0,0,0,129,14,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
50,72,1,0,2,1,2,11,1,11,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:52:26.475256920,5,0,3,0,0,129,13,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
51,293,1,2,0,2,1,10,1,1,11,10,1,0,0.001271,0,0,0,0,1,2020-10-17 15:52:31.335213900,2,0,1,0,0,129,0,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
52,72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:52:31.539202929,3,0,10,0,0,129,15,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
53,206,1,2,0,2,1,4,1,1,3,3,1,0,0.001297,0,0,0,0,1,2020-10-17 15:52:36.187274933,9,0,5,0,0,129,10,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
54,72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,12,2,36,0,1,2020-10-17 15:52:44.191261053,7,0,7,0,0,129,12,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
55,225,1,2,0,2,1,6,1,1,8,5,1,0,0.001187,0,0,0,0,1,2020-10-17 15:52:44.997301102,1,0,8,0,0,129,9,0,58,1.0,60,-125.309,-51.0801,-197.574,-125.49,UC1
56,60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:52:45.505224943,8,0,2,0,0,129,11,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
57,42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:52:48.415220022,6,0,4,0,0,129,14,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
58,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,2020-10-17 15:52:51.709233046,6,0,9,0,0,129,15,2,1,4.0,163,-125.309,-51.0801,-197.574,-125.49,UC1
59,72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:52:54.141282082,0,0,6,0,0,129,10,0,46,1.0,22,-125.309,-51.0801,-197.574,-125.49,UC1
60,253,1,2,0,2,1,8,1,1,10,8,1,0,0.001347,0,0,0,0,1,2020-10-17 15:52:55.295173883,4,0,0,0,0,129,15,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
61,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,2020-10-17 15:52:56.627232075,5,0,3,0,0,129,14,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
62,72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:53:00.751211882,6,0,9,0,0,129,0,2,1,3.0,161,-125.309,-51.0801,-197.574,-125.49,UC1
63,182,1,2,0,2,1,2,1,1,9,1,1,0,0.001377,0,0,0,0,1,2020-10-17 15:53:01.487164974,2,0,1,0,0,129,1,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
64,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:53:01.691157103,3,0,10,0,0,129,0,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
65,72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,2020-10-17 15:53:06.339258909,9,0,5,0,0,129,11,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
66,208,1,2,0,2,1,5,1,1,2,4,1,0,0.001279,0,0,0,0,1,2020-10-17 15:53:14.343318939,7,0,7,0,0,129,13,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
67,60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:53:15.149332047,1,0,8,0,0,129,10,0,58,1.0,61,-125.309,-51.0801,-197.574,-125.49,UC1
68,60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,5,1,15,0,1,2020-10-17 15:53:15.657310963,8,0,2,0,0,129,12,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
69,60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:53:18.567420006,6,0,4,0,0,129,1,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
70,72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,5,1,15,0,1,2020-10-17 15:53:24.293308973,0,0,6,0,0,129,11,0,46,1.0,22,-125.309,-51.0801,-197.574,-125.49,UC1
71,196,1,2,0,2,1,3,1,1,7,2,1,0,0.001312,0,0,0,0,1,2020-10-17 15:53:25.447231054,4,0,0,0,0,129,0,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
72,72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:53:26.779253960,5,0,3,0,0,129,15,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
73,142,1,2,0,2,1,1,1,1,5,13,1,0,0.001396,0,0,0,0,1,2020-10-17 15:53:31.640207052,2,0,1,0,0,129,2,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
74,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,8,2,24,0,1,2020-10-17 15:53:31.844188929,3,0,10,0,0,129,1,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
75,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:53:36.492300034,9,0,5,0,0,129,12,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
76,72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,4,1,12,0,1,2020-10-17 15:53:44.496301889,7,0,7,0,0,129,14,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
77,239,1,2,0,2,1,7,1,1,6,7,1,0,0.000682,0,0,0,0,1,2020-10-17 15:53:45.302305937,1,0,8,0,0,129,11,0,58,1.0,61,-125.309,-51.0801,-197.574,-125.49,UC1
78,89,1,0,2,1,2,12,1,8,1,11,1,0,-1.0,0,0,0,0,1,2020-10-17 15:53:45.810239077,8,0,2,0,0,129,13,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
79,91,1,2,0,2,1,13,1,1,8,12,1,0,0.000738,0,0,0,0,1,2020-10-17 15:53:48.720228910,6,0,4,0,0,129,2,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
80,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:53:54.446264029,0,0,6,0,0,129,12,0,46,1.0,22,-125.309,-51.0801,-197.574,-125.49,UC1
81,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:53:55.600177050,4,0,0,0,0,129,1,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
82,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,2020-10-17 15:53:56.932216883,5,0,3,0,0,129,0,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
83,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:01.792231083,2,0,1,0,0,129,3,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
84,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,2020-10-17 15:54:01.996159077,3,0,10,0,0,129,2,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
85,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,6,1,12,0,1,2020-10-17 15:54:06.644258022,9,0,5,0,0,129,13,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
86,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,6,1,18,0,1,2020-10-17 15:54:07.580250025,8,0,9,0,0,129,14,2,1,1.0,159,-125.309,-51.0801,-197.574,-125.49,UC1
87,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:14.649256945,7,0,7,0,0,129,15,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
88,72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,6,1,18,0,1,2020-10-17 15:54:15.455291986,1,0,8,0,0,129,12,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,UC1
89,286,1,2,0,2,1,9,1,1,4,9,1,0,0.000467,0,0,0,0,1,2020-10-17 15:54:15.963243961,8,0,2,0,0,129,15,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
90,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:18.873205900,6,0,4,0,0,129,3,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
91,72,1,0,2,1,2,11,1,11,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:54:24.598273993,0,0,6,0,0,129,13,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,UC1
92,293,1,2,0,2,1,10,1,1,11,10,1,0,0.000595,0,0,0,0,1,2020-10-17 15:54:25.752187967,4,0,0,0,0,129,2,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
93,72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:54:27.084193945,5,0,3,0,0,129,1,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
94,206,1,2,0,2,1,4,1,1,3,3,1,0,0.000425,0,0,0,0,1,2020-10-17 15:54:31.945163965,2,0,1,0,0,129,4,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
95,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,6,1,18,0,1,2020-10-17 15:54:32.149144888,3,0,10,0,0,129,3,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
96,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:36.797275066,9,0,5,0,0,129,14,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
97,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:44.803309917,7,0,7,0,0,129,0,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
98,72,1,0,2,1,2,11,1,8,1,6,1,0,-1.0,6,1,18,0,1,2020-10-17 15:54:45.609297037,1,0,8,0,0,129,13,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,UC1
99,225,1,2,0,2,1,6,1,1,8,5,1,0,0.000428,0,0,0,0,1,2020-10-17 15:54:46.117254019,8,0,2,0,0,129,0,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
100,42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:49.025219917,6,0,4,0,0,129,4,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
101,60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:54.750282049,0,0,6,0,0,129,14,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,UC1
102,60,0,0,2,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:55.904198885,4,0,0,0,0,129,3,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
103,42,0,2,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:54:57.236193895,5,0,3,0,0,129,2,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
104,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,11,2,33,0,1,2020-10-17 15:55:02.098164082,2,0,1,0,0,129,5,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
105,72,1,0,2,1,2,11,1,10,1,6,1,0,-1.0,5,1,15,0,1,2020-10-17 15:55:02.302154064,3,0,10,0,0,129,4,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
106,253,1,2,0,2,1,8,1,1,10,8,1,0,0.000668,0,0,0,0,1,2020-10-17 15:55:06.950257063,9,0,5,0,0,129,15,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
107,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:55:14.395256042,8,0,9,0,0,129,1,2,1,1.0,159,-125.309,-51.0801,-197.574,-125.49,UC1
108,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:55:14.955254078,7,0,7,0,0,129,1,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
109,72,1,0,2,1,2,11,1,9,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:55:15.761293888,1,0,8,0,0,129,14,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,UC1
110,182,1,2,0,2,1,2,1,1,9,1,1,0,0.000606,0,0,0,0,1,2020-10-17 15:55:16.269228935,8,0,2,0,0,129,2,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
111,72,1,0,2,1,2,11,1,2,1,6,1,0,-1.0,5,1,15,0,1,2020-10-17 15:55:19.177251101,6,0,4,0,0,129,5,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
112,208,1,2,0,2,1,5,1,1,2,4,1,0,0.000485,0,0,0,0,1,2020-10-17 15:55:24.903523922,0,0,6,0,0,129,15,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,UC1
113,72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,10,2,30,0,1,2020-10-17 15:55:26.057243109,4,0,0,0,0,129,4,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
114,196,1,2,0,2,1,3,1,1,7,2,1,0,0.000554,0,0,0,0,1,2020-10-17 15:55:27.389241934,5,0,3,0,0,129,3,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,UC1
115,72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,2020-10-17 15:55:32.251210928,2,0,1,0,0,129,6,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,UC1
116,142,1,2,0,2,1,1,1,1,5,13,1,0,0.000638,0,0,0,0,1,2020-10-17 15:55:32.455199957,3,0,10,0,0,129,5,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,UC1
117,72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,12,3,36,0,1,2020-10-17 15:55:37.103368998,9,0,5,0,0,129,0,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,UC1
118,239,1,2,0,2,1,7,1,1,6,7,1,0,0.001573,0,0,0,0,1,2020-10-17 15:55:45.108418941,7,0,7,0,0,129,2,0,55,2.0,54,-125.309,-51.0801,-197.574,-125.49,UC1
119,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,2020-10-17 15:55:45.914330959,1,0,8,0,0,129,15,0,58,1.0,62,-125.309,-51.0801,-197.574,-125.49,UC1
120,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2020-10-17 15:55:46.422277927,8,0,2,0,0,129,3,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,UC1
121,42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,2020-10-17 15:55:49.330265999,6,0,4,0,0,129,6,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,UC1
122,72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,12,2,36,0,1,2020-10-17 15:55:55.056271076,0,0,6,0,0,129,0,0,46,1.0,23,-125.309,-51.0801,-197.574,-125.49,UC1
123,286,1,2,0,2,1,9,1,1,4,9,1,0,0.000796,0,0,0,0,1,2020-10-17 15:55:56.210197926,4,0,0,0,0,129,5,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,UC1
